"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)","Var% Dólar Comercial - PTAX Final do Mês, Venda (R$/US$)","Var% IPCA - Índice de Preços ao Consumidor Ampliado (%)"
"02/2012","-3,98","-1,72","-19,64"
"03/2012","4,48","6,61","-53,33"
"04/2012","3,32","3,83","204,76"
"05/2012","7,07","6,90","-43,75"
"06/2012","3,18","-0,05","-77,78"
"07/2012","-1,00","1,41","437,50"
"08/2012","0,03","-0,62","-4,65"
"09/2012","-0,07","-0,32","39,02"
"10/2012","0,09","0,03","3,51"
"11/2012","1,92","3,75","1,69"
"12/2012","0,44","-3,03","31,67"
"01/2013","-2,25","-2,70","8,86"
"02/2013","-2,85","-0,65","-30,23"
"03/2013","0,49","1,94","-21,67"
"04/2013","0,99","-0,60","17,02"
"05/2013","1,62","6,50","-32,73"
"06/2013","6,79","3,93","-29,73"
"07/2013","3,65","3,37","-88,46"
"08/2013","4,00","3,59","700,00"
"09/2013","-3,06","-6,01","45,83"
"10/2013","-3,61","-1,23","62,86"
"11/2013","4,88","5,55","-5,26"
"12/2013","2,18","0,76","70,37"
"01/2014","1,57","3,57","-40,22"
"02/2014","0,06","-3,83","25,45"
"03/2014","-2,42","-3,02","33,33"
"04/2014","-4,01","-1,19","-27,17"
"05/2014","-0,53","0,13","-31,34"
"06/2014","0,66","-1,63","-13,04"
"07/2014","-0,48","2,95","-97,50"
"08/2014","1,95","-1,23","2400,00"
"09/2014","2,86","9,44","128,00"
"10/2014","4,95","-0,28","-26,32"
"11/2014","4,09","4,74","21,43"
"12/2014","3,57","3,75","52,94"
"01/2015","-0,19","0,23","58,97"
"02/2015","6,92","8,11","-1,61"
"03/2015","11,47","11,46","8,20"
"04/2015","-3,07","-6,68","-46,21"
"05/2015","0,61","6,19","4,23"
"06/2015","1,63","-2,40","6,76"
"07/2015","3,58","9,39","-21,52"
"08/2015","9,03","7,45","-64,52"
"09/2015","11,16","8,95","145,45"
"10/2015","-0,67","-2,87","51,85"
"11/2015","-2,67","-0,22","23,17"
"12/2015","2,51","1,41","-4,95"
"01/2016","4,68","3,53","32,29"
"02/2016","-1,94","-1,56","-29,13"
"03/2016","-6,79","-10,57","-52,22"
"04/2016","-3,73","-3,04","41,86"
"05/2016","-0,74","4,18","27,87"
"06/2016","-3,24","-10,72","-55,13"
"07/2016","-4,35","0,91","48,57"
"08/2016","-2,01","0,04","-15,38"
"09/2016","1,46","0,18","-81,82"
"10/2016","-2,17","-2,01","225,00"
"11/2016","4,90","6,78","-30,77"
"12/2016","0,31","-4,05","66,67"
"01/2017","-4,64","-4,05","26,67"
"02/2017","-2,89","-0,89","-13,16"
"03/2017","0,76","2,23","-24,24"
"04/2017","0,26","0,95","-44,00"
"05/2017","2,34","1,42","121,43"
"06/2017","2,68","1,99","-174,19"
"07/2017","-2,71","-5,37","-204,35"
"08/2017","-1,72","0,52","-20,83"
"09/2017","-0,51","0,66","-15,79"
"10/2017","1,80","3,44","162,50"
"11/2017","2,14","-0,47","-33,33"
"12/2017","1,00","1,42","57,14"
"01/2018","-2,47","-4,40","-34,09"
"02/2018","0,96","2,61","10,34"
"03/2018","1,16","2,43","-71,88"
"04/2018","3,91","4,73","144,44"
"05/2018","6,71","7,35","81,82"
"06/2018","3,77","3,18","215,00"
"07/2018","1,47","-2,62","-73,81"
"08/2018","2,64","10,13","-127,27"
"09/2018","4,75","-3,18","-633,33"
"10/2018","-8,70","-7,15","-6,25"
"11/2018","0,75","3,92","-146,67"
"12/2018","2,60","0,30","-171,43"
"01/2019","-3,69","-5,75","113,33"
"02/2019","-0,48","2,37","34,37"
"03/2019","3,30","4,23","74,42"
"04/2019","1,29","1,25","-24,00"
"05/2019","2,70","-0,12","-77,19"
"06/2019","-3,57","-2,75","-92,31"
"07/2019","-2,06","-1,76","1800,00"
"08/2019","6,37","9,92","-42,11"
