Date,Open,High,Low,Close,Adj Close,Volume
2021-06-11,5.054500,5.136400,5.038696,5.054500,5.054500,0
2021-06-14,5.116900,5.117500,5.054200,5.117000,5.117000,0
2021-06-15,5.058800,5.101100,5.056220,5.058600,5.058600,0
2021-06-16,5.043097,5.049556,4.991703,5.043800,5.043800,0
2021-06-17,5.054100,5.072500,5.007800,5.054300,5.054300,0
2021-06-18,5.007300,5.054200,4.980168,5.007400,5.007400,0
2021-06-21,5.095900,5.096000,5.027400,5.096000,5.096000,0
2021-06-22,5.012900,5.042500,4.994800,5.013100,5.013100,0
2021-06-23,4.956147,4.977100,4.937600,4.957100,4.957100,0
2021-06-24,4.965200,4.970600,4.914400,4.965200,4.965200,0
2021-06-25,4.912900,4.943600,4.893000,4.912700,4.912700,0
2021-06-28,4.914600,4.969700,4.897337,4.915400,4.915400,0
2021-06-29,4.924500,4.967900,4.922471,4.924800,4.924800,0
2021-06-30,4.953180,5.020300,4.952957,4.955100,4.955100,0
2021-07-01,4.969100,5.046000,4.945500,4.969200,4.969200,0
2021-07-02,5.045175,5.070400,4.985600,5.045102,5.045102,0
2021-07-05,5.059100,5.090100,5.013576,5.059200,5.059200,0
2021-07-06,5.088780,5.200100,5.075800,5.088459,5.088459,0
2021-07-07,5.193614,5.279100,5.170900,5.195300,5.195300,0
2021-07-08,5.228895,5.309000,5.228037,5.231200,5.231200,0
2021-07-09,5.258200,5.259100,5.237449,5.258000,5.258000,0
2021-07-12,5.196200,5.280700,5.153448,5.257900,5.257900,0
2021-07-13,5.172800,5.238000,5.150934,5.172700,5.172700,0
2021-07-14,5.161400,5.164100,5.066300,5.162400,5.162400,0
2021-07-15,5.070300,5.121600,5.055826,5.069900,5.069900,0
2021-07-16,5.110300,5.123900,5.074900,5.110000,5.110000,0
2021-07-19,5.115300,5.215300,5.111008,5.115400,5.115400,0
2021-07-20,5.250500,5.291500,5.206700,5.250900,5.250900,0
2021-07-21,5.219400,5.275200,5.217897,5.219900,5.219900,0
2021-07-22,5.185374,5.221400,5.168780,5.187300,5.187300,0
2021-07-23,5.199800,5.201600,5.157700,5.199600,5.199600,0
2021-07-26,5.198000,5.227600,5.162900,5.197900,5.197900,0
2021-07-27,5.175400,5.201900,5.147600,5.175400,5.175400,0
2021-07-28,5.168600,5.171000,5.128564,5.169100,5.169100,0
2021-07-29,5.114800,5.115900,5.042597,5.114800,5.114800,0
2021-07-30,5.080300,5.152200,5.075800,5.080400,5.080400,0
2021-08-02,5.208600,5.214300,5.115600,5.208700,5.208700,0
2021-08-03,5.174600,5.271200,5.169200,5.174600,5.174600,0
2021-08-04,5.196700,5.241300,5.164047,5.196800,5.196800,0
2021-08-05,5.168100,5.175800,5.110000,5.168200,5.168200,0
2021-08-06,5.245200,5.270963,5.206700,5.245200,5.245200,0
2021-08-09,5.235500,5.296500,5.226600,5.232000,5.232000,0
2021-08-10,5.231600,5.259800,5.190500,5.231800,5.231800,0
2021-08-11,5.188600,5.231500,5.159000,5.188300,5.188300,0
2021-08-12,5.218200,5.253700,5.212800,5.218200,5.218200,0
2021-08-13,5.252300,5.277700,5.223206,5.252200,5.252200,0
2021-08-16,5.247500,5.290100,5.224100,5.247500,5.247500,0
2021-08-17,5.259600,5.294000,5.235045,5.259700,5.259700,0
2021-08-18,5.294300,5.352500,5.262700,5.294300,5.294300,0
2021-08-19,5.378700,5.449600,5.376155,5.378600,5.378600,0
2021-08-20,5.414300,5.471800,5.340000,5.414100,5.414100,0
2021-08-23,5.384409,5.404300,5.339000,5.379000,5.379000,0
2021-08-24,5.380100,5.381400,5.256300,5.379900,5.379900,0
2021-08-25,5.245900,5.266700,5.226300,5.245800,5.245800,0
2021-08-26,5.211000,5.256100,5.207356,5.211000,5.211000,0
2021-08-27,5.251800,5.258500,5.189700,5.251600,5.251600,0
2021-08-30,5.203000,5.222300,5.182000,5.202800,5.202800,0
2021-08-31,5.183200,5.192500,5.115800,5.182900,5.182900,0
2021-09-01,5.147381,5.185300,5.141400,5.149300,5.149300,0
2021-09-02,5.185200,5.197100,5.141200,5.184600,5.184600,0
2021-09-03,5.181900,5.189200,5.131100,5.181800,5.181800,0
2021-09-06,5.192500,5.208700,5.154700,5.189800,5.189800,0
2021-09-07,5.169100,5.169900,5.166947,5.169300,5.169300,0
2021-09-08,5.168800,5.306800,5.166941,5.169600,5.169600,0
2021-09-09,5.320700,5.330900,5.260900,5.320600,5.320600,0
2021-09-10,5.196700,5.235700,5.163162,5.196500,5.196500,0
2021-09-13,5.246900,5.264400,5.201000,5.247000,5.247000,0
2021-09-14,5.213000,5.248800,5.192441,5.213200,5.213200,0
2021-09-15,5.238600,5.269400,5.192595,5.238900,5.238900,0
2021-09-16,5.221700,5.276600,5.219645,5.221700,5.221700,0
2021-09-17,5.256800,5.344800,5.252091,5.256800,5.256800,0
2021-09-20,5.289600,5.343700,5.281905,5.289700,5.289700,0
2021-09-21,5.324700,5.361500,5.262600,5.270100,5.270100,0
